OID,COUNT,FOR_TEN,FOR_CATEGO,FOREST,STATE,FOR_BURNS,FOR_BURN_T
36715,5,MUF,Native forest,1,Vic,1,Planned burns only
36716,93,PRIV,Native forest,1,Vic,0,Forest not burnt
36717,5,NCR,Native forest,1,Vic,1,Unplanned burns only
36718,3,MUF,Native forest,1,Vic,2,Planned and Unplanned burns
36719,827,NCR,Native forest,1,Vic,0,Forest not burnt
36720,39,PRIV,Native forest,1,Vic,0,Forest not burnt
36721,8,OCL,Native forest,1,Vic,1,Unplanned burns only
36722,2,PRIV,Native forest,1,Vic,1,Unplanned burns only
36723,9,PRIV,Native forest,1,Vic,0,Forest not burnt
36724,35,PRIV,Native forest,1,Vic,0,Forest not burnt
36725,49,NCR,Native forest,1,Vic,0,Forest not burnt
36726,12,NCR,Native forest,1,Vic,0,Forest not burnt
36727,14,OCL,Native forest,1,Vic,0,Forest not burnt
36728,2,PRIV,Native forest,1,Vic,0,Forest not burnt
36729,673,NCR,Native forest,1,Vic,0,Forest not burnt
36730,3,NCR,Native forest,1,Vic,0,Forest not burnt
36731,1,NCR,Native forest,1,Vic,0,Forest not burnt
36732,28,NCR,Native forest,1,Vic,2,Planned burns only
36733,13,OCL,Native forest,1,Vic,2,Planned burns only
36734,1,OCL,Native forest,1,Vic,1,Planned burns only
36735,1,NCR,Native forest,1,Vic,1,Planned burns only
36736,2,NCR,Native forest,1,Vic,3,Planned burns only
36737,1,OCL,Native forest,1,Vic,3,Planned burns only
36738,336,PRIV,Native forest,1,Vic,0,Forest not burnt
36739,91,PRIV,Native forest,1,Vic,0,Forest not burnt
36740,87,PRIV,Native forest,1,Vic,0,Forest not burnt
36741,16,PRIV,Native forest,1,Vic,0,Forest not burnt
36742,9,OCL,Native forest,1,Vic,2,Planned burns only
36743,1,NCR,Other forest,1,Vic,1,Unplanned burns only
36744,5, ,Non-forest,0,Vic,-9, 
36745,44,PRIV,Native forest,1,Vic,1,Unplanned burns only
36746,3,PRIV,Native forest,1,Vic,2,Planned burns only
36747,1, ,Non-forest,0,Vic,-9, 
36748,35,NCR,Commercial plantation,1,Vic,1,Unplanned burns only
36749,94,PRIV,Commercial plantation,1,Vic,1,Unplanned burns only
36750,9,OCL,Commercial plantation,1,Vic,1,Unplanned burns only
36751,4,OCL,Native forest,1,Vic,1,Planned burns only
36752,6,MUF,Native forest,1,Vic,1,Planned burns only
36753,15,OCL,Native forest,1,Vic,1,Unplanned burns only
36754,1,OCL,Native forest,1,Vic,1,Unplanned burns only
36755,2,PRIV,Native forest,1,Vic,1,Planned burns only
36756,2,PRIV,Native forest,1,Vic,1,Unplanned burns only
36757,20,MUF,Native forest,1,Vic,1,Unplanned burns only
36758,1,OCL,Native forest,1,Vic,1,Unplanned burns only
36759,1,OCL,Native forest,1,Vic,1,Unplanned burns only
36760,21,MUF,Native forest,1,Vic,1,Unplanned burns only
36761,23,PRIV,Native forest,1,Vic,1,Unplanned burns only
